AS216,0.00,71.00,44.2317,-96.4795
AS224,0.00,206.00,37.8863,-122.5317
AS226,1.34,158.00,32.3138,-99.6878
AS227,2.24,15.00,10.7208,-61.5062
AS230,1.34,77.00,40.7307,-111.8267
AS231,0.00,61.00,38.9217,-92.3492
AS234,0.00,87.00,48.0567,-123.3265
AS237,0.89,153.00,26.2840,-98.2575
AS239,5.36,136.00,33.0295,-97.1483
AS240,0.00,253.00,49.1922,-117.2992
AS241,0.00,11.00,31.1338,-92.0683
AS247,0.00,280.00,35.3708,-92.4145
AS250,0.00,100.00,29.1322,-95.6467
AS259,0.00,100.00,41.1680,-96.0260
AS267,1.34,140.00,35.6202,-97.4703
AS268,0.45,293.00,34.7683,-112.0617
AS269,0.45,202.00,42.2530,-93.7417
AS278,0.89,169.00,42.7688,1.7515
AS281,2.24,224.00,49.6405,11.2255
AS282,0.00,300.00,47.2403,-93.5943
AS285,0.00,290.00,49.9689,8.5701
AS290,0.00,280.00,40.4168,-109.4792
AS295,0.00,23.00,52.2378,9.2348
AS303,10.28,8.00,34.5003,-119.7212
AS304,0.00,203.00,33.6445,-112.0937
AS307,0.00,125.00,30.6542,-95.1487
AS311,0.00,192.00,30.0825,-95.1425
AS312,0.45,315.00,43.6757,-116.0428
AS319,0.00,283.00,40.7667,-111.8858
AS322,0.00,112.00,44.1250,8.2545
AS325,0.00,284.00,37.4200,-122.2488
AS326,2.68,25.00,41.0395,-115.5683
AS335,0.00,215.00,33.8917,-117.7837
AS337,0.45,144.00,32.9528,-97.6260
AS338,0.00,45.00,51.4378,7.5453
AS349,1.34,114.00,47.3133,-122.2188
AS352,1.34,243.00,49.1377,8.1241
AS353,0.89,269.00,43.5369,-5.6252
AS354,2.24,13.00,38.7905,0.0392
AS355,2.68,194.00,51.1012,1.2152
AS366,0.00,0.00,49.5372,8.3783
AS368,4.92,70.00,51.3123,7.3872
AS374,0.00,158.00,47.2382,8.7347
AS375,0.00,204.00,43.8170,10.6845
AS376,2.24,108.00,45.3572,9.6855
AS389,2.24,68.00,35.8372,139.6615
AS399,0.45,328.00,39.6000,-119.7788
AS400,1.34,22.00,51.8531,-8.2900
AS408,0.00,163.00,32.1743,-110.8025
AS411,0.00,0.00,51.3703,21.1503
AS414,0.00,20.00,32.6722,-117.1710
AS417,0.00,0.00,46.9413,-99.1068
AS421,0.00,46.00,44.7333,-93.4333
AS422,1.34,0.00,41.3967,-93.0012
AS436,1.79,189.00,45.5132,-122.8907
AS439,0.00,307.00,49.3238,-122.9578
AS447,3.58,274.00,-32.7313,151.9980
AS450,2.68,128.00,38.9010,22.4360
AS451,1.79,0.00,38.0552,23.8497
AS452,2.68,45.00,37.9468,23.7678
AS453,0.89,154.00,40.6913,22.8472
AS455,1.34,138.00,41.7450,-111.8017
AS457,1.34,277.00,33.6418,-112.4273
AS459,0.00,36.00,37.3555,-122.0813
AS460,7.60,68.00,54.8442,-5.1230
AS463,0.45,338.00,45.3361,-120.7912
AS468,3.13,221.00,60.1588,24.5502
AS469,0.89,91.00,45.6068,-123.9350
AS470,5.81,195.00,39.3362,-101.7970
AS472,0.00,250.00,45.6766,-118.7814
AS474,0.00,232.00,47.6521,-122.1222
AS480,0.00,67.00,59.9433,17.3888
AS485,0.45,250.00,39.2393,-111.0227
AS488,0.00,307.00,33.0213,-116.9402
AS490,4.47,192.00,40.7323,-111.5880
AS491,0.00,155.00,30.4695,-97.9825
AS495,0.00,90.00,30.3113,-95.2812
AS496,0.00,135.00,32.4175,-99.4577
AS497,0.00,360.00,43.4217,-95.1028
AS498,0.89,345.00,37.8187,-121.9083
AS499,0.00,284.00,38.6500,-27.2167
AS500,1.34,146.00,42.6074,-112.0335
AS501,3.58,247.00,-34.8777,-56.1505
AS502,0.89,75.00,47.6650,9.4483
AS504,0.00,180.00,45.5142,-122.9818
AS508,2.24,190.00,45.7158,8.8158
AS509,0.45,8.00,32.6172,-116.4688
AS512,0.89,180.00,44.6417,-124.0560
AS515,0.00,0.00,41.1297,-104.5098
AS516,0.00,69.00,49.6998,-123.1353
AS517,4.02,348.00,34.8972,-118.6528
AS519,0.89,51.00,41.0477,-111.9068
AS520,2.24,200.00,34.5705,-112.5147
AS522,1.34,248.00,45.2567,-122.6847
AS523,3.58,90.00,13.7787,100.5758
AS527,0.00,158.00,38.7170,-94.4625
AS529,0.00,210.00,29.4650,-98.6720
AS531,0.00,0.00,44.3429,-124.0921
AS533,0.89,35.00,42.9038,-112.5887
AS535,1.34,198.00,39.4742,-94.5758
AS536,1.34,195.00,47.7683,-122.2870
AS537,0.00,360.00,54.5738,9.6200
AS538,0.00,315.00,37.9288,-121.2893
AS544,1.34,195.00,37.5302,15.0632
AS551,10.28,158.00,29.7817,-95.5317
AS557,0.00,270.00,31.5023,-110.2604
AS564,1.79,357.00,47.6610,-122.0580
AS567,2.68,190.00,54.6295,-2.4908
AS568,0.00,299.00,32.8328,-117.2570
AS573,0.89,180.00,39.3742,-94.2095
AS576,0.00,14.00,29.2726,-98.3242
AS587,0.00,159.00,35.8210,-105.9152
AS589,0.00,101.00,35.2713,-93.1732
AS594,4.02,105.00,52.2475,-7.1347
AS597,0.00,123.00,36.6461,-93.4300
AS598,0.00,149.00,34.2157,-117.1215
AS602,0.00,189.00,41.6292,-93.5345
AS603,0.00,337.00,44.8932,-93.3715
AS608,1.34,178.00,38.3887,-104.6687
AS611,1.34,172.00,47.5487,-121.9397
AS612,0.00,184.00,45.4661,-123.9210
AS615,3.58,130.00,51.7025,19.4795
AS616,3.58,147.00,51.5463,19.2762
AS619,1.34,195.00,38.0418,-97.3456
AS621,0.00,268.00,34.2993,-118.5124
AS622,1.79,139.00,47.5755,-99.4168
AS625,0.00,0.00,42.0242,-111.2550
AS628,0.00,180.00,47.1945,-121.9872
AS629,0.00,160.00,33.5287,-112.3530
AS630,1.79,120.00,32.9480,-97.2095
AS632,0.00,269.00,37.6702,21.4382
AS633,3.13,110.00,62.4533,-114.4177
AS635,5.81,180.00,-40.1990,176.1100
AS638,2.24,184.00,54.0002,-1.4556
AS646,0.00,227.00,39.3417,-104.6775
AS653,0.00,248.00,51.4917,11.9558
AS661,4.02,248.00,34.7770,-118.2775
AS671,2.24,203.00,49.2517,-124.7887
AS675,0.00,135.00,-37.4792,144.4717
AS677,1.34,166.00,36.4752,-97.4217
AS678,0.00,0.00,33.4005,-117.2453
CDFA2,0.00,256.00,67.2553,-150.1839
CLGA2,0.00,299.00,64.8917,-147.8453
C0000,7.60,284.00,-37.1167,174.5833
C0004,0.00,180.00,39.7257,-104.9590
C0007,2.24,115.00,52.5183,4.9733
C0009,0.45,105.00,51.1395,4.4848
C0018,0.00,214.00,29.9850,-97.3033
C0053,1.79,357.00,45.2185,-121.3974
C0060,2.68,340.00,49.8058,9.6547
